value,date_earliest,date_latest
1 Februar 1538,01.02.1538,01.02.1538
13 Marts 1538,13.03.1538,13.03.1538
19 Marts 1538,19.03.1538,19.03.1538
28 Oktbr  1538,28.10.1538,28.10.1538
30 Marts 1539,30.03.1539,30.03.1539
1 April 1539,01.04.1539,01.04.1539
15 August 1539,15.08.1539,15.08.1539
8 Septbr  1539,08.09.1539,08.09.1539
10 Septbr  1539,10.09.1539,10.09.1539
22 Septbr 1 1539,22.09.1539,22.09.1539
9 August 1540,09.08.1540,09.08.1540
[c  1535-40 ],01.01.1535,31.12.1535
8 Oktbr  1541,08.10.1541,08.10.1541
15 Juni 1542,15.06.1542,15.06.1542
20 Oktbr  1542,20.10.1542,20.10.1542
10 Novbr  1543,10.11.1543,10.11.1543
10 Mai 1544,10.05.1544,10.05.1544
1 Juni 1544,01.06.1544,01.06.1544
14 August 1544,14.08.1544,14.08.1544
15 August 1544,15.08.1544,15.08.1544
6 Decbr  1544,06.12.1544,06.12.1544
5 Juli 1546,05.07.1546,05.07.1546
20 Februar 1547,20.02.1547,20.02.1547
22 Marts 1547,22.03.1547,22.03.1547
30 Juli 1547,30.07.1547,30.07.1547
24 Novbr  1547,24.11.1547,24.11.1547
6 Decbr  1547,06.12.1547,06.12.1547
27 Mai 1548,27.05.1548,27.05.1548
18 Juli 1548,18.07.1548,18.07.1548
[Juli 1548 ],01.07.1548,31.07.1548
26 Oktbr  1548,26.10.1548,26.10.1548
28 Juli 1549,28.07.1549,28.07.1549
26 Novbr  1549,26.11.1549,26.11.1549
30 Novbr  1549,30.11.1549,30.11.1549
23 Decbr  1549,23.12.1549,23.12.1549
[ca  1540-50?],01.01.1540,31.12.1540
[c  1550 ],01.01.1550,31.12.1550
25 Juli 1551,25.07.1551,25.07.1551
19 Oktbr  1551,19.10.1551,19.10.1551
13 Januar 1552,13.01.1552,13.01.1552
25 Juni 1552,25.06.1552,25.06.1552
27 Juni 1552,27.06.1552,27.06.1552
22 Juli 1552,22.07.1552,22.07.1552
14 Novbr  1552,14.11.1552,14.11.1552
[10 Januar 1553?],10.01.1553,10.01.1553
11 Marts 1553,11.03.1553,11.03.1553
5 August 1553,05.08.1553,05.08.1553
17 Mai 1554,17.05.1554,17.05.1554
11 Oktbr  1554,11.10.1554,11.10.1554
24 Oktbr  1554,24.10.1554,24.10.1554
[19 Juli 1555?],19.07.1555,19.07.1555
5 Oktbr  1555,05.10.1555,05.10.1555
14 Novbr  1555,14.11.1555,14.11.1555
16 Mai 1556,16.05.1556,16.05.1556
16 Oktbr  1556,16.10.1556,16.10.1556
28 Februar 1557,28.02.1557,28.02.1557
29 Decbr  1557 1,29.12.1557,29.12.1557
[Hösten] 1558,01.09.1558,30.11.1558
6 Oktbr  1558,06.10.1558,06.10.1558
19 Februar 1559,19.02.1559,19.02.1559
2 Novbr  1559,02.11.1559,02.11.1559
6 Novbr  1559,06.11.1559,06.11.1559
9 Juli 1560,09.07.1560,09.07.1560
11 Novbr  1560,11.11.1560,11.11.1560
[c  1550-60 ],01.01.1550,31.12.1560
3 April 1561,03.04.1561,03.04.1561
7 Juni 1561?,07.06.1561,07.06.1561
25 Juni 1561,25.06.1561,25.06.1561
26 April 1563,26.04.1563,26.04.1563
1553-63,01.01.1553,31.12.1553
[c  1564 ],01.01.1564,31.12.1564
9 Oktbr  1565,09.10.1565,09.10.1565
27 August 1566,27.08.1566,27.08.1566
6 Decbr ? 1566,06.12.1566,06.12.1566
11 August 1568,11.08.1568,11.08.1568
3 April 1569,03.04.1569,03.04.1569
c  1570?,01.01.1570,31.12.1570
[c  1200],01.01.1200,31.12.1200
[Kort för 1300 ],01.01.1299,01.01.1300
14 Aug  (7 Sept ?) 1303,07.09.1303,14.09.1303
29 Juni 1306,29.06.1306,29.06.1306
22 Decbr  1325,22.12.1325,22.12.1325
24 Juli 1328,24.07.1328,24.07.1328
22 Januar 1329,22.01.1329,22.01.1329
22 Mai 1333,22.05.1333,22.05.1333
15 Mai 1335,15.05.1335,15.05.1335
16 Decbr  1339,16.12.1339,16.12.1339
12 April 1340,12.04.1340,12.04.1340
18 Juni 1340,18.06.1340,18.06.1340
15 Novbr  1340,15.11.1340,15.11.1340
25 April 1343,25.04.1343,25.04.1343
30 Januar 1344,30.01.1344,30.01.1344
17 Marts 1345,17.03.1345,17.03.1345
13 Septbr  1346 1,13.09.1346,13.09.1346
16 Novbr  1359,16.11.1359,16.11.1359
1 Februar 1360,01.02.1360,01.02.1360
17 Marts 1360,17.03.1360,17.03.1360
6 Novbr  1360,06.11.1360,06.11.1360
2 Decbr  1361,02.12.1361,02.12.1361
4 Mai (15 Septbr ) 1362?,04.05.1362,15.09.1362
25 April 1368,25.04.1368,25.04.1368
18 Mai 1369?,18.05.1369,18.05.1369
Aug  1369-Aug  1370,01.07.1369,31.08.1370
25 Juli 1371,25.07.1371,25.07.1371
20 Januar 1378,20.01.1378,20.01.1378
Uden Dag 1378?,01.01.1378,31.12.1378
Juni [1356-80],01.06.1356,30.06.1380
Juli 1383-Juli 1384,01.07.1383,31.07.1384
9 Januar 1385,09.01.1385,09.01.1385
25 April 1386,25.04.1386,25.04.1386
26 Februar 1387,26.02.1387,26.02.1387
Juli 1386-Juli 1387,01.07.1386,31.07.1387
13-14 Marts 1388,13.03.1388,14.03.1388
4 April 1389,04.04.1389,04.04.1389
7 Decbr  1389,07.12.1389,07.12.1389
[c  1380-89?],01.01.1380,31.12.1380
Sept  1391-Sept  1392,01.09.1391,30.09.1392
12 April 1394,12.04.1394,12.04.1394
13 Oktbr  1394,13.10.1394,13.10.1394
28 Oktbr  1394,28.10.1394,28.10.1394
Sept  1395-Sept  1396,01.09.1395,30.09.1396
6 April 1397,06.04.1397,06.04.1397
16 Februar 1398,16.02.1398,16.02.1398
Uden Dag 1399,01.01.1399,31.12.1399
3 Juli 1400,03.07.1400,03.07.1400
1 Juli 1401,01.07.1401,01.07.1401
30 Juli 1401,30.07.1401,30.07.1401
15 Decbr  1403,15.12.1403,15.12.1403
18 August 1404,18.08.1404,18.08.1404
17 April 1407,17.04.1407,17.04.1407
25 Juli 1407?,25.07.1407,25.07.1407
22 Marts 1408,22.03.1408,22.03.1408
15 April 1408,15.04.1408,15.04.1408
29 August 1408,29.08.1408,29.08.1408
29 Juli 1409,29.07.1409,29.07.1409
26 Marts 1410,26.03.1410,26.03.1410
Uden Dag 1410,01.01.1410,31.12.1410
21 Septbr  1411 1,21.09.1411,21.09.1411
16? Marts 1412,16.03.1412,16.03.1412
8 Juli 1413,08.07.1413,08.07.1413
Sept  1412-Sept  1413?,01.01.1412,30.09.1413
4 Marts 1414,04.03.1414,04.03.1414
6 Decbr  1415,06.12.1415,06.12.1415
20 April 1416,20.04.1416,20.04.1416
22 Juni 1416,22.06.1416,22.06.1416
27 Juni 1418,27.06.1418,27.06.1418
16 Juni 1419,16.06.1419,16.06.1419
Uden Dag 1419,01.01.1419,31.12.1419
13 Septbr  1420,13.09.1420,13.09.1420
Uden Dag 1420,01.01.1420,31.12.1420
23 Oktbr  1421,23.10.1421,23.10.1421
5 April 1422,05.04.1422,05.04.1422
16 Februar 1423,16.02.1423,16.02.1423
Sept  1422-Sept  1423,01.09.1422,30.09.1423
Sept  1423-Sept  1424,01.09.1423,30.09.1424
17 April 1425,17.04.1425,17.04.1425
12 Februar 1426,12.02.1426,12.02.1426
17 Juni 1426,17.06.1426,17.06.1426
25 Marts 1427,25.03.1427,25.03.1427
5 August 1428,05.08.1428,05.08.1428
12 Septbr  1428,12.09.1428,12.09.1428
22 Oktbr  1428,22.10.1428,22.10.1428
25 Marts 1429,25.03.1429,25.03.1429
14 April 1429,14.04.1429,14.04.1429
[Juni c  1420-30 ],01.06.1420,30.06.1430
28 Februar 1433,28.02.1433,28.02.1433
11 Novbr  1434,11.11.1434,11.11.1434
6 Decbr  1434,06.12.1434,06.12.1434
Sept  1434-Sept  1435,01.09..1434,30.09.1435
24 Marts 1438,24.03.1438,24.03.1438
8 Marts 1440,08.03.1440,08.03.1440
5 April 1441,05.04.1441,05.04.1441
9 Juli 1442,09.07.1442,09.07.1442
25 Februar? 1444,25.02.1444,25.02.1444
15 April 1444,15.04.1444,15.04.1444
17 April 1444,17.04.1444,17.04.1444
12 Novbr  1446,12.11.1446,12.11.1446
15 Aug  (8 Sept ?) 1447,15.08.1447,08.09.1447
5 Marts 1448,05.03.1448,05.03.1448
14 Juli 1448,14.07.1448,14.07.1448
26 Januar 1449?,26.01.1449,26.01.1449
3 Marts 1449,03.03.1449,03.03.1449
Vaaren [c  1450 ],01.04.1450,31.05.1450
21 Juni 1450,21.06.1450,21.06.1450
15 Marts 1452,15.03.1452,15.03.1452
6 Mai 1456,06.05.1456,06.05.1456
27 Mai 1456,27.05.1456,27.05.1456
12 Oktbr  1458,12.10.1458,12.10.1458
4 Mai 1460,04.05.1460,04.05.1460
[c  1460 ],01.01.1460,31.12.1460
20 Juni 1463,20.06.1463,20.06.1463
17 Marts 1464,17.03.1464,17.03.1464
4 Novbr  1465,04.11.1465,04.11.1465
30 Januar 1466,30.01.1466,30.01.1466
29 Januar 1469,29.01.1469,29.01.1469
13 Novbr  1469,13.11.1469,13.11.1469
17 Oktbr  1470,17.10.1470,17.10.1470
23 Februar 1472,23.02.1472,23.02.1472
28 Decbr  1476,28.12.1476,28.12.1476
10 Februar 1477,10.02.1477,10.02.1477
26 Marts 1478,26.03.1478,26.03.1478
1 Februar 1480,01.02.1480,01.02.1480
16 Marts 1480,16.03.1480,16.03.1480
14 Oktbr  1480,14.10.1480,14.10.1480
15 April 1481,15.04.1481,15.04.1481
23 Oktbr  1482,23.10.1482,23.10.1482
1 Februar 1483,01.02.1483,01.02.1483
26 Juli 1483,26.07.1483,26.07.1483
7 Marts 1484,07.03.1484,07.03.1484
1485,01.01.1485,31.12.1485
6 Oktbr  1488,06.10.1488,06.10.1488
18? Decbr  1489,18.12.1489,18.12.1489
23 Juni 1490,23.06.1490,23.06.1490
12 Oktbr  1490,12.10.1490,12.10.1490
Vaaren [c  1480-90],01.04.1480,31.05.1480
Septbr  [c  1480-1490 ],01.09.1480,30.09.1490
16 Oktbr  1491,16.10.1491,16.10.1491
5 Decbr ? 1491,05.12.1491,05.12.1491
Uden Dag 1497,01.01.1497,31.12.1497
21 Oktbr  1498,21.10.1498,21.10.1498
20 Decbr  1499,20.12.1499,20.12.1499
Januar 1500,01.01.1500,31.01.1500
Febr -Marts c  1500 1,01.02.1500,31.03.1500
30 April 1505,30.04.1505,30.04.1505
25 Oktbr  1506,25.10.1506,25.10.1506
8 Januar 1509,08.01.1509,08.01.1509
25 April 1510,25.04.1510,25.04.1510
22 (29?) Marts 1511,22.03.1511,22.03.1511
24 August 1512?,24.08.1512,24.08.1512
21 Decbr  1513,21.12.1513,21.12.1513
12 Marts 1514,12.03.1514,12.03.1514
Uden Dag 1517,01.01.1517,31.12.1517
22 Novbr  1519,22.11.1519,22.11.1519
20 Juni 1520,20.06.1520,20.06.1520
10 Februar 1521,10.02.1521,10.02.1521
[För Sept  1521?],01.01.1521,01.09.1521
23 Novbr  1521,23.11.1521,23.11.1521
12 Mai 1523,12.05.1523,12.05.1523
15 Mai 1523,15.05.1523,15.05.1523
26 Mai 1523,26.05.1523,26.05.1523
23 Juni 1523,23.06.1523,23.06.1523
16 Juli 1523,16.07.1523,16.07.1523
25 (18?) Juli 1523,25.07.1523,25.07.1523
15 August 1523,15.08.1523,15.08.1523
10 Septbr  1523,10.09.1523,10.09.1523
20 Septbr  1523,20.09.1523,20.09.1523
[21 Septbr 1] 1523,21.09.1523,21.09.1523
6 Oktbr  1523,06.10.1523,06.10.1523
14 Oktbr  1523,14.10.1523,14.10.1523
[Oktbr  1523?],01.10.1523,31.10.1523
25 Oktbr  1523,25.10.1523,25.10.1523
7 Novbr  1523,07.11.1523,07.11.1523
13 Novbr  1523,13.11.1523,13.11.1523
14 Novbr  1523,14.11.1523,14.11.1523
21 Novbr  1523,21.11.1523,21.11.1523
24 Novbr  1523,24.11.1523,24.11.1523
28 Novbr  1523,28.11.1523,28.11.1523
8 Januar 1524,08.01.1524,08.01.1524
13 Januar 1524,13.01.1524,13.01.1524
14 Januar 1524,14.01.1524,14.01.1524
17 Januar 1524,17.01.1524,17.01.1524
18 Januar 1524,18.01.1524,18.01.1524
20 Januar 1524,20.01.1524,20.01.1524
22 Januar 1524,22.01.1524,22.01.1524
25 Januar 1524,25.01.1524,25.01.1524
26 Januar 1524,26.01.1524,26.01.1524
19 Februar 1524,19.02.1524,19.02.1524
8 April 1524,08.04.1524,08.04.1524
28 April 1524,28.04.1524,28.04.1524
8 Mai 1524,08.05.1524,08.05.1524
10 Mai 1524,10.05.1524,10.05.1524
12 Mai 1524,12.05.1524,12.05.1524
15 Mai 1524,15.05.1524,15.05.1524
16 Mai 1524,16.05.1524,16.05.1524
19 Mai 1524,19.05.1524,19.05.1524
22 Mai 1524,22.05.1524,22.05.1524
26 Mai 1524,26.05.1524,26.05.1524
31 Mai 1524,31.05.1524,31.05.1524
2 Juni 1524,02.06.1524,02.06.1524
7 Juni 1524,07.06.1524,07.06.1524
8 Juni 1524,08.06.1524,08.06.1524
[9 Juni 1524 ],09.06.1524,09.06.1524
10 Juni 1524,10.06.1524,10.06.1524
[c  15 Juni 1524 ],15.06.1524,15.06.1524
26 Juni 1524,26.06.1524,26.06.1524
3 Juli 1524,03.07.1524,03.07.1524
4 Juli 1524,04.07.1524,04.07.1524
6 Juli 1524,06.07.1524,06.07.1524
9 Juli [1524],09.07.1524,09.07.1524
14 (7?) Juli 1524,14.07.1524,14.07.1524
[c  15 Juli 1524],15.07.1524,15.07.1524
20 (13?) Juli 1524,20.07.1524,20.07.1524
26 Juli 1524,26.07.1524,26.07.1524
1 August? 1524,01.08.1524,01.08.1524
2 August 1524,02.08.1524,02.08.1524
3 August 1524,03.08.1524,03.08.1524
[Begynd  af Aug? 1524 ],01.01.1524,31.12.1524
8 August 1524,08.08.1524,08.08.1524
10 August 1524,10.08.1524,10.08.1524
18 August 1524,18.08.1524,18.08.1524
30 August 1524,30.08.1524,30.08.1524
[August? 1524 ],01.08.1524,31.08.1524
9 Septbr  1524,09.09.1524,09.09.1524
20 Septbr  1524,20.09.1524,20.09.1524
27 Septbr  1524,27.09.1524,27.09.1524
30 Septbr  1524,30.09.1524,30.09.1524
3 Oktbr  1524,03.10.1524,03.10.1524
15 Novbr  1524,15.11.1524,15.11.1524
17 Novbr  1524,17.11.1524,17.11.1524
[Novbr  1524 ],01.11.1524,30.11.1524
1 Decbr  1524,01.12.1524,01.12.1524
19 Decbr  1524,19.12.1524,19.12.1524
20 Decbr  1524,20.12.1524,20.12.1524
27 Decbr  1524,27.12.1524,27.12.1524
29 Decbr  1524,29.12.1524,29.12.1524
30 Decbr  1524,30.12.1524,30.12.1524
[30 Decbr ?] 1524,30.12.1524,30.12.1524
15 Januar 1525,15.01.1525,15.01.1525
20 Januar 1525,20.01.1525,20.01.1525
23 Januar 1525,23.01.1525,23.01.1525
[c  231 Januar 1525 ],01.01.1525,31.01.1525
23 Januar [1525],23.01.1525,23.01.1525
24 Januar 1525,24.01.1525,24.01.1525
27 Januar 1525,27.01.1525,27.01.1525
29 Januar 1525,29.01.1525,29.01.1525
6 Februar 1525,06.02.1525,06.02.1525
8 Februar 1525,08.02.1525,08.02.1525
9 Februar 1525,09.02.1525,09.02.1525
[10 Februar 1525 ],10.02.1525,10.02.1525
[10 Februar 1525],10.02.1525,10.02.1525
10 Februar 1525,10.02.1525,10.02.1525
11 Februar 1525,11.02.1525,11.02.1525
14 Februar 1525,14.02.1525,14.02.1525
16 Februar 1525,16.02.1525,16.02.1525
18 Februar 1525,18.02.1525,18.02.1525
19 Februar 1525,19.02.1525,19.02.1525
6 April 1525,06.04.1525,06.04.1525
11 April 1525,11.04.1525,11.04.1525
15 April 1525,15.04.1525,15.04.1525
30 Mai 1525,30.05.1525,30.05.1525
[30 Mai?] 1525,30.05.1525,30.05.1525
13 (20?) Juli 1525,13.07.1525,20.07.1525
19 August 1525,19.08.1525,19.08.1525
22 August 1525,22.08.1525,22.08.1525
31 August 1525,31.08.1525,31.08.1525
17 Septbr  1525,17.09.1525,17.09.1525
21 Oktbr  1525,21.10.1525,21.10.1525
5 Decbr  1525,05.12.1525,05.12.1525
5 Januar 1526,05.01.1526,05.01.1526
14 Januar 15261,14.01.1526,14.01.1526
15 Januar 1526,15.01.1526,15.01.1526
20 Januar 1526,20.01.1526,20.01.1526
25 Januar 1526,25.01.1526,25.01.1526
16 Februar 1526,16.02.1526,16.02.1526
2 (3) Marts 1526,02.03.1526,02.03.1526
3 Marts 1526,03.03.1526,03.03.1526
12 Marts 1526,12.03.1526,12.03.1526
28 Mai 1526,28.05.1526,28.05.1526
29 Mai 1526,29.05.1526,29.05.1526
30 Juni 1526,30.06.1526,30.06.1526
11 Juli 1526,11.07.1526,11.07.1526
31 Juli 1526,31.07.1526,31.07.1526
9-10 August 1526,09.08.1526,10.08.1526
20 August 1526,20.08.1526,20.08.1526
[August?] 1526,01.08.1526,31.08.1526
5 Septbr  1526,05.09.1526,05.09.1526
18 Septbr  [1526],18.09.1526,18.09.1526
26 Septbr  1526,26.09.1526,26.09.1526
3 Oktbr  1526,03.10.1526,03.10.1526
8 Oktbr  1526,08.10.1526,08.10.1526
13 Oktbr  1526,13.10.1526,13.10.1526
5 Novbr  1526,05.11.1526,05.11.1526
13 Novbr  1526,13.11.1526,13.11.1526
19 Novbr  1526,19.11.1526,19.11.1526
23 Decbr  1526,23.12.1526,23.12.1526
[1526 1],01.01.1526,31.12.1526
2 Januar 1527,02.01.1527,02.01.1527
6 Januar 1527,06.01.1527,06.01.1527
13 Januar 1527,13.01.1527,13.01.1527
14 Januar 1527,14.01.1527,14.01.1527
1 Februar 1527,01.02.1527,01.02.1527
5 Februar 1527,05.02.1527,05.02.1527
[Februar?] 1527,01.02.1527,28.02.1527
1 Marts 1527,01.03.1527,01.03.1527
13 Marts 1527,13.03.1527,13.03.1527
9 April 1527,09.04.1527,09.04.1527
13 April 1527,13.04.1527,13.04.1527
26 April 1527,26.04.1527,26.04.1527
27 April 1527,27.04.1527,27.04.1527
2 Juni 1527,02.06.1527,02.06.1527
5 Juni 1527,05.06.1527,05.06.1527
9 Juni 1527,09.06.1527,09.06.1527
11 Juli 1527,11.07.1527,11.07.1527
24 Juli 1527,24.07.1527,24.07.1527
[Juli?] 1527,01.07.1527,31.07.1527
9 Septbr  1527,09.09.1527,09.09.1527
21 Septbr  1527,21.09.1527,21.09.1527
22 Septbr  1527,22.09.1527,22.09.1527
28 Septbr  1527,28.09.1527,28.09.1527
26 Febr -3 Oktbr  1527,26.02.1527,03.10.1527
15 Oktbr  1527,15.10.1527,15.10.1527
25 Oktbr  1527,25.10.1527,25.10.1527
1 Novbr  1527,01.11.1527,01.11.1527
13 Novbr  1527,13.11.1527,13.11.1527
30 Decbr  1527 1,30.12.1527,30.12.1527
31 Decbr  1527,31.12.1527,31.12.1527
12 Januar 1528,12.01.1528,12.01.1528
1 Februar 1528,01.02.1528,01.02.1528
19 Februar 1528,19.02.1528,19.02.1528
30 Marts 1528,30.03.1528,30.03.1528
11 April 1528,11.04.1528,11.04.1528
26 April 1528,26.04.1528,26.04.1528
10 Mai 1528,10.05.1528,10.05.1528
3 Juni 1528,03.06.1528,03.06.1528
15 Juni 1528,15.06.1528,15.06.1528
1 Juli 1528,01.07.1528,01.07.1528
4 Juli 1528,04.07.1528,04.07.1528
30 Juli 1528,30.07.1528,30.07.1528
Sommeren 1528,01.06.1528,31.08.1528
10 August 1528,10.08.1528,10.08.1528
24 August 1528,24.08.1528,24.08.1528
27 August 1528,27.08.1528,27.08.1528
4 Septbr  1528,04.09.1528,04.09.1528
22 Septbr  1528,22.09.1528,22.09.1528
25 Septbr  1528,25.09.1528,25.09.1528
6 Oktbr  1528,06.10.1528,06.10.1528
27 Oktbr  1528,27.10.1528,27.10.1528
28 Oktbr  1528,28.10.1528,28.10.1528
29 Oktbr  1528,29.10.1528,29.10.1528
30 Oktbr  1528,30.10.1528,30.10.1528
6 Decbr  1528,06.12.1528,06.12.1528
6 Januar 1529,06.01.1529,06.01.1529
21 Januar 1529,21.01.1529,21.01.1529
3 Februar 1529,03.02.1529,03.02.1529
8 Februar 1529,08.02.1529,08.02.1529
19 Februar 1529,19.02.1529,19.02.1529
7 Marts 1529,07.03.1529,07.03.1529
9 Marts 1529,09.03.1529,09.03.1529
13 Marts 1529,13.03.1529,13.03.1529
16 Marts 1529,16.03.1529,16.03.1529
21 Marts 1529,21.03.1529,21.03.1529
8 April? 1529,08.04.1529,08.04.1529
12 April 1529,12.04.1529,12.04.1529
[Beg  af Mai 1529],01.05.1529,31.05.1529
30 Mai 1529,30.05.1529,30.05.1529
31 Mai 1529,31.05.1529,31.05.1529
18 Juni 1529,18.06.1529,18.06.1529
19 Juni 1529,19.06.1529,19.06.1529
25 Juni 1529,25.06.1529,25.06.1529
15 Juli 1529,15.07.1529,15.07.1529
16 Juli 1529,16.07.1529,16.07.1529
23 Juli 1529,23.07.1529,23.07.1529
1 August 1529,01.08.1529,01.08.1529
3 August 1529,03.08.1529,03.08.1529
5 Juli-5 August 1529,05.07.1529,05.08.1529
11 August 1529,11.08.1529,11.08.1529
12 August 1529,12.08.1529,12.08.1529
16 August 1529,16.08.1529,16.08.1529
20 August 1529,20.08.1529,20.08.1529
August 1529,01.08.1529,31.08.1529
1 Septbr  1529,01.09.1529,01.09.1529
[Septbr ? 1529 ],01.09.1529,30.09.1529
13 Septbr  1529,13.09.1529,13.09.1529
21 Septbr  1529,21.09.1529,21.09.1529
25 Septbr  1529,25.09.1529,25.09.1529
2 Oktbr  1529,02.10.1529,02.10.1529
10 Novbr  1529,10.11.1529,10.11.1529
20 Novbr  1529,20.11.1529,20.11.1529
21 Novbr  1529,21.11.1529,21.11.1529
2 Decbr  1529,02.12.1529,02.12.1529
20 Decbr  1529,20.12.1529,20.12.1529
9 Januar 1530,09.01.1530,09.01.1530
17 Februar 1530,17.02.1530,17.02.1530
[Februar 1530 ],01.02.1530,28.02.1530
[Mai 1530?],01.05.1530,31.05.1530
9 Juni 1530,09.06.1530,09.06.1530
Juni? 1530,01.06.1530,30.06.1530
18 Juni 1530,18.06.1530,18.06.1530
20 Juli 1530,20.07.1530,20.07.1530
[20 Juli 1530 ],20.07.1530,20.07.1530
29 Decbr  1530,29.12.1530,29.12.1530
Uden dag 1529-30,01.01.1529,31.12.1529
[Sommeren 1531?],01.06.1531,31.08.1531
9(-11) Februar 1532,09.02.1532,11.02.1532
20 Februar 1532,20.02.1532,20.02.1532
12 Marts 1532,12.03.1532,12.03.1532
25 Novbr  1532,25.11.1532,25.11.1532
24 Marts 1533,24.03.1533,24.03.1533
28 Marts 1533,28.03.1533,28.03.1533
22 Mai 1533,22.05.1533,22.05.1533
17 Juni 1533,17.06.1533,17.06.1533
27 Juni 1533,27.06.1533,27.06.1533
9 Juli? 1533,09.07.1533,09.07.1533
19 Mai 1534,19.05.1534,19.05.1534
1 Juni 1534,01.06.1534,01.06.1534
16 Juni 1534,16.06.1534,16.06.1534
27 August 1534,27.08.1534,27.08.1534
13 Septbr  1534,13.09.1534,13.09.1534
18 Septbr  1534,18.09.1534,18.09.1534
19 Septbr  1534,19.09.1534,19.09.1534
21 Januar 1535,21.01.1535,21.01.1535
6 Marts 1535,06.03.1535,06.03.1535
28 April 1535,28.04.1535,28.04.1535
14 Mai 1535,14.05.1535,14.05.1535
20 Mai 1535,20.05.1535,20.05.1535
30 Mai 1535,30.05.1535,30.05.1535
31 Mai 1535,31.05.1535,31.05.1535
8 Juni 1535,08.06.1535,08.06.1535
15 Juni 1535,15.06.1535,15.06.1535
13 Juli 1535,13.07.1535,13.07.1535
[Sommeren 1535],01.06.1535,31.08.1535
9 Januar 1536,09.01.1536,09.01.1536
21 Juni 1536,21.06.1536,21.06.1536
16 (9?) Juli 1536,09.07.1536,16.07.1536
17 August 1536,17.08.1536,17.08.1536
19 August 1536,19.08.1536,19.08.1536
12 Septbr  1536,12.09.1536,12.09.1536
3 Oktbr  1536,03.10.1536,03.10.1536
15 Mai 1537,15.05.1537,15.05.1537
24 Juni 1537,24.06.1537,24.06.1537
1 Oktbr  1537,01.10.1537,01.10.1537
22 Novbr  1537,22.11.1537,22.11.1537
Uden Dag 1537,01.01.1537,31.12.1537
[1537 ],01.01.1537,31.12.1537
12 Februar 1538,12.02.1538,12.02.1538
15 Februar 1538,15.02.1538,15.02.1538
24 Juni 1538,24.06.1538,24.06.1538
14 Septbr  1538,14.09.1538,14.09.1538
29 Septbr  1538,29.09.1538,29.09.1538
12 Novbr  1538,12.11.1538,12.11.1538
2 Decbr  1538,02.12.1538,02.12.1538
13 Decbr  1538,13.12.1538,13.12.1538
3 Mai 1539,03.05.1539,03.05.1539
8 Juni 1539,08.06.1539,08.06.1539
16 Juni 1539,16.06.1539,16.06.1539
24 Marts (1 Juli?) 1539,24.03.1539,01.07.1539
2 Novbr  1539,02.11.1539,02.11.1539
29 Januar 1540,29.01.1540,29.01.1540
26 Februar 1540,26.02.1540,26.02.1540
27 Marts 1540,27.03.1540,27.03.1540
12 April 1540,12.04.1540,12.04.1540
18 April 1540,18.04.1540,18.04.1540
24 Mai 1540,24.05.1540,24.05.1540
27 Mai 1540,27.05.1540,27.05.1540
19 Juni 1540,19.06.1540,19.06.1540
22 August 1540,22.08.1540,22.08.1540
29 Septbr  1540,29.09.1540,29.09.1540
Novbr  [c  1540 ],01.11.1540,30.11.1540
2 Februar 1541,02.02.1541,02.02.1541
Marts-April 1541,01.03.1541,31.03.1541
Uden Dag 1541,01.01.1541,31.12.1541
14 Februar 1542,14.02.1542,14.02.1542
25 Marts 1542,25.03.1542,25.03.1542
15 April 1542,15.04.1542,15.04.1542
23 Juni 1542,23.06.1542,23.06.1542
12 Novbr  1542,12.11.1542,12.11.1542
13 Mai 1543,13.05.1543,13.05.1543
c  25 Mai og 13 Septbr  1544,25.05.1544,25.05.1544
16 Novbr  1544,16.11.1544,16.11.1544
18 Mai 1545,18.05.1545,18.05.1545
8 Juli 1545,08.07.1545,08.07.1545
25 Oktbr  1545,25.10.1545,25.10.1545
23 Juni 1546,23.06.1546,23.06.1546
Uden Dag 1546,01.01.1546,31.12.1546
16 Marts 1547,16.03.1547,16.03.1547
12 August 1547,12.08.1547,12.08.1547
23 Oktbr  1547,23.10.1547,23.10.1547
26 Februar 1548,26.02.1548,26.02.1548
24 April 1548,24.04.1548,24.04.1548
4 August 1548,04.08.1548,04.08.1548
13 Novbr  1548,13.11.1548,13.11.1548
15 Novbr  1548,15.11.1548,15.11.1548
25 Mai 1549,25.05.1549,25.05.1549
5 Septbr  1549,05.09.1549,05.09.1549
22 Oktbr  1549,22.10.1549,22.10.1549
5 Decbr  1549,05.12.1549,05.12.1549
16 Decbr  1550,16.12.1550,16.12.1550
7 Marts 1551,07.03.1551,07.03.1551
9 Marts 1551,09.03.1551,09.03.1551
3 Marts 1553,03.03.1553,03.03.1553
[10 Marts 1553 ],10.03.1553,10.03.1553
10 Marts 1553,10.03.1553,10.03.1553
8 Januar 1554,08.01.1554,08.01.1554
8 Januar 1555,08.01.1555,08.01.1555
20 Juni 1555,20.06.1555,20.06.1555
24 Septbr  1557,24.09.1557,24.09.1557
3 Januar 1558,03.01.1558,03.01.1558
4 Marts 1558,04.03.1558,04.03.1558
1 Mai 1558,01.05.1558,01.05.1558
2 Mai (13 Sept ?) 1559,02.05.1559,13.09.1559
8 Juni 1560,08.06.1560,08.06.1560
16 Marts 1561,16.03.1561,16.03.1561
4 Februar 1562,04.02.1562,04.02.1562
26 Juni 1562,26.06.1562,26.06.1562
27 Juli 1562,27.07.1562,27.07.1562
