value,date_earliest,date_latest
14 Oktbr  1343,14.10.1343,14.10.1343
29 Januar 1344,29.01.1344,29.01.1344
31 Jan  1344,31.01.1344,31.01.1344
17 Juli 1344,17.07.1344,17.07.1344
30 August 1344,30.08.1344,30.08.1344
25 Januar 1345,25.01.1345,25.01.1345
25 Febr  1345,25.02.1345,25.02.1345
14 Juni 1345,14.06.1345,14.06.1345
17 Juli 1345,17.07.1345,17.07.1345
29 Septbr  1345,29.09.1345,29.09.1345
21 Juni 1346,21.06.1346,21.06.1346
12 Oktbr  1346,12.10.1346,12.10.1346
20 Novbr  1346,20.11.1346,20.11.1346
10 Decbr 1346,10.12.1346,10.12.1346
13 Decbr  1346,13.12.1346,13.12.1346
12 Januar 1347,12.01.1347,12.01.1347
29 Januar 1347,29.01.1347,29.01.1347
8 Febr  1347,08.02.1347,08.02.1347
3 April 1347,03.04.1347,03.04.1347
1 Septbr  1347,01.09.1347,01.09.1347
8 Septbr  1347,08.09.1347,08.09.1347
14 Septbr  1347,14.09.1347,14.09.1347
19 Febr  1348,19.02.1348,19.02.1348
14 Juli 1348,14.07.1348,14.07.1348
31 August 1348,31.08.1348,31.08.1348
14 Septbr  1348,14.09.1348,14.09.1348
22 Novbr  1348,22.11.1348,22.11.1348
22 Februar 1349,22.02.1349,22.02.1349
7 April 1349,07.04.1349,07.04.1349
7 August 1349,07.08.1349,07.08.1349
18 August 1349,18.08.1349,18.08.1349
Oktbr  1349,01.10.1349,31.10.1349
17 Decbr  1349,17.12.1349,17.12.1349
6 August 1350,06.08.1350,06.08.1350
3 Novbr  1350,03.11.1350,03.11.1350
3 Juni? 1351,03.06.1351,03.06.1351
13 August 1351,13.08.1351,13.08.1351
20 August 1351,20.08.1351,20.08.1351
31 Oktbr  1351,31.10.1351,31.10.1351
5 Novbr  1351,05.11.1351,05.11.1351
9 Juni 1352,09.06.1352,09.06.1352
30 Juni 1352,30.06.1352,30.06.1352
3 Septbr  1352,03.09.1352,03.09.1352
18 Septbr  1352,18.09.1352,18.09.1352
19 Septbr  1352,19.09.1352,19.09.1352
12 Mai 1353,12.05.1353,12.05.1353
18 Juli 1353,18.07.1353,18.07.1353
Aug  1352 - Aug  1353,01.08.1352,31.08.1353
28 Oktbr  1353,28.10.1353,28.10.1353
17 Januar 1354,17.01.1354,17.01.1354
10 August 1354,10.08.1354,10.08.1354
23 August 1354,23.08.1354,23.08.1354
23 Novbr  1354,23.11.1354,23.11.1354
28 Novbr  1354,28.11.1354,28.11.1354
22 Febr  1355,22.02.1355,22.02.1355
16 Novbr  1355,16.11.1355,16.11.1355
6 Februar 1356,06.02.1356,06.02.1356
24 Marts 1356,24.03.1356,24.03.1356
19 April 1356,19.04.1356,19.04.1356
5 Decbr  1356,05.12.1356,05.12.1356
30 August 1357,30.08.1357,30.08.1357
26 Novbr  1357,26.11.1357,26.11.1357
15 Januar 1358,15.01.1358,15.01.1358
23 Januar 1358,23.01.1358,23.01.1358
31 Marts 1358,31.03.1358,31.03.1358
29 Mai 1358,29.05.1358,29.05.1358
26 Juni 1358,26.06.1358,26.06.1358
12 Septbr  1358,12.09.1358,12.09.1358
23 Septbr  1358,23.09.1358,23.09.1358
14 Oktbr  1358,14.10.1358,14.10.1358
5 Marts 1359,05.03.1359,05.03.1359
11 Marts 1359,11.03.1359,11.03.1359
5 August 1359 1,05.08.1359,05.08.1359
13 Oktbr  1359,13.10.1359,13.10.1359
9 Novbr  1359,09.11.1359,09.11.1359
12 Marts 1360,12.03.1360,12.03.1360
22 Marts 1360,22.03.1360,22.03.1360
6 Juli 1360,06.07.1360,06.07.1360
5 April 1361,05.04.1361,05.04.1361
21 Juli 1361,21.07.1361,21.07.1361
4 Marts 1362,04.03.1362,04.03.1362
8 April 1362,08.04.1362,08.04.1362
20 April 1362,20.04.1362,20.04.1362
16 Juni 1362,16.06.1362,16.06.1362
4 Septbr  1362,04.09.1362,04.09.1362
3 Februar 1363,03.02.1363,03.02.1363
22 Februar 1363,22.02.1363,22.02.1363
13 April 1363,13.04.1363,13.04.1363
17 Septbr  1363,17.09.1363,17.09.1363
31 Januar 1364,31.01.1364,31.01.1364
20 Februar 1364,20.02.1364,20.02.1364
26 Februar 1364,26.02.1364,26.02.1364
28 August 1364,28.08.1364,28.08.1364
28 Mai 1365,28.05.1365,28.05.1365
8 Juni 1365,08.06.1365,08.06.1365
16 Oktbr  1365,16.10.1365,16.10.1365
9 Februar 1366,09.02.1366,09.02.1366
4 August 1366,04.08.1366,04.08.1366
18 August 1366,18.08.1366,18.08.1366
23 Novbr  1366,23.11.1366,23.11.1366
4 Februar 1367,04.02.1367,04.02.1367
21 Februar 1367,21.02.1367,21.02.1367
8 April 1367,08.04.1367,08.04.1367
4 Mai 1367,04.05.1367,04.05.1367
18 August 1367,18.08.1367,18.08.1367
29 Septbr  1367,29.09.1367,29.09.1367
26 Februar 1368,26.02.1368,26.02.1368
30 Marts 1368,30.03.1368,30.03.1368
23 April 1368,23.04.1368,23.04.1368
24 Oktbr  1368,24.10.1368,24.10.1368
6 Januar 1369,06.01.1369,06.01.1369
25 Mai 1369,25.05.1369,25.05.1369
13 Januar 1370,13.01.1370,13.01.1370
8 Februar 1370,08.02.1370,08.02.1370
6 Oktbr  1370,06.10.1370,06.10.1370
18 Oktbr  [ved 1370?],01.01.1370,31.12.1370
21 Februar 1371,21.02.1371,21.02.1371
6 Mai 1371,06.05.1371,06.05.1371
17 Oktbr  1371,17.10.1371,17.10.1371
16 Novbr  1371,16.11.1371,16.11.1371
uden Dag 1371,01.01.1371,31.12.1371
NA,,
25 Februar 1372,25.02.1372,25.02.1372
27 Februar 1372,27.02.1372,27.02.1372
19 Mai 1372,19.05.1372,19.05.1372
2 Juni 1372 1,02.06.1372,02.06.1372
10 Januar 1373,10.01.1373,10.01.1373
3 Februar 1373,03.02.1373,03.02.1373
19 April 1373,19.04.1373,19.04.1373
27 April 1373,27.04.1373,27.04.1373
16 Oktbr  1373,16.10.1373,16.10.1373
4 Januar 1374,04.01.1374,04.01.1374
30 Juni 1374,30.06.1374,30.06.1374
uden Dag 1373-1374,01.01.1373,31.12.1374
9 Oktbr  1374,09.10.1374,09.10.1374
12 Februar 1375,12.02.1375,12.02.1375
22 Juli 1375,22.07.1375,22.07.1375
uden Dag 1374-1375,01.01.1374,31.12.1375
2 Oktbr  1375,02.10.1375,02.10.1375
20 Januar 1376,20.01.1376,20.01.1376
4 April 1376,04.04.1376,04.04.1376
3 Juni 1376,03.06.1376,03.06.1376
27 August 1376,27.08.1376,27.08.1376
15 Septbr  1376,15.09.1376,15.09.1376
14 Oktbr  1376,14.10.1376,14.10.1376
6 Novbr  1376,06.11.1376,06.11.1376
4 Decbr  1376,04.12.1376,04.12.1376
29 Marts 1377,29.03.1377,29.03.1377
30 Marts 1377,30.03.1377,30.03.1377
3 Mai 1377,03.05.1377,03.05.1377
19 Juli 1377,19.07.1377,19.07.1377
8 Oktbr  1377,08.10.1377,08.10.1377
5 Novbr  1377,05.11.1377,05.11.1377
9 Juni 1378,09.06.1378,09.06.1378
18 Juni 1378,18.06.1378,18.06.1378
24 Juni 1378,24.06.1378,24.06.1378
29 Juli 1378,29.07.1378,29.07.1378
8 Novbr  1378,08.11.1378,08.11.1378
14 Novbr  1378,14.11.1378,14.11.1378
20 Februar 1379,20.02.1379,20.02.1379
14 April 1379,14.04.1379,14.04.1379
13 Juni 1379,13.06.1379,13.06.1379
11 Juli 1379,11.07.1379,11.07.1379
2 August 1379,02.08.1379,02.08.1379
22 Septbr  1379,22.09.1379,22.09.1379
29 Februar 1380,29.02.1380,29.02.1380
24 April 1380,24.04.1380,24.04.1380
mell  15 Aug  1379 og 1 Mai 1380,15.08.1379,01.05.1380
2 Juni 1380,02.06.1380,02.06.1380
20 Juli 1380,20.07.1380,20.07.1380
9 Septbr  1380,09.09.1380,09.09.1380
21 Decbr  1380,21.12.1380,21.12.1380
7 April 1381,07.04.1381,07.04.1381
15 April 1381,15.04.1381,15.04.1381
28 August [1381 ],28.08.1381,28.08.1381
20 April 1382,20.04.1382,20.04.1382
1 Juni 1382,01.06.1382,01.06.1382
9 August 1382,09.08.1382,09.08.1382
13 August 1382,13.08.1382,13.08.1382
13 Oktbr  1382,13.10.1382,13.10.1382
28 Febr  1383,28.02.1383,28.02.1383
13 April 1383,13.04.1383,13.04.1383
23 Mai 1383,23.05.1383,23.05.1383
11 August 1383,11.08.1383,11.08.1383
2 Oktbr  1383,02.10.1383,02.10.1383
5 Oktbr  1383,05.10.1383,05.10.1383
16 Oktbr  1383,16.10.1383,16.10.1383
23 Oktbr  1383,23.10.1383,23.10.1383
6 Januar 1384,06.01.1384,06.01.1384
14 Marts 1384,14.03.1384,14.03.1384
26 Marts 1384,26.03.1384,26.03.1384
28 Marts 1384,28.03.1384,28.03.1384
29 Marts 1384,29.03.1384,29.03.1384
14 April 1384,14.04.1384,14.04.1384
30 April 1384,30.04.1384,30.04.1384
22 August 1384,22.08.1384,22.08.1384
12 Januar 1385,12.01.1385,12.01.1385
14 Februar 1385,14.02.1385,14.02.1385
10 April 1385,10.04.1385,10.04.1385
4 Juni 1385,04.06.1385,04.06.1385
23 August 1385,23.08.1385,23.08.1385
29 Januar 1386,29.01.1386,29.01.1386
27 August 1386,27.08.1386,27.08.1386
26 Septbr  1386,26.09.1386,26.09.1386
6 Oktbr  1386,06.10.1386,06.10.1386
8 Oktbr  1386,08.10.1386,08.10.1386
